objectid,filename,title,format,creator,date,subject,length,submissions
ds_2025,ds_2025.pdf,"The Dancing Star, Vol 49",application/pdf,"Gianesi, Valentina",2025,Poetry; Digital Art (Visual Works); Photographs; Scripts (Documents); Short Stories,47,061
ds_2024,ds_2024.pdf,"The Dancing Star, Vol 48",application/pdf,"Gianesi, Valentina",2024,Digital Art (Visual Works); Poetry; Sculptures (Visual Works); Paintings (Visual Works); Short Stories; Photographs; Drawings (Visual Works),120,076
ds_2023,ds_2023.pdf,"The Dancing Star, Vol 47",application/pdf,"Stuart, Eva",2023,Mixed Media; Cyanotypes (Photographic Prints); Poetry; Drawings (Visual Works); Scripts (Documents); Paintings (Visual Works); Photographs; Short Stories,76,034
ds_2022,ds_2022.pdf,"The Dancing Star, Vol 46",application/pdf,"Dargle, Heidi",2022,Short Stories; Scripts (Documents); Poetry; Photographs; Drawings (Visual Works); Paintings (Visual Works),47,033
ds_2021,ds_2021.pdf,"The Dancing Star, Vol 45",application/pdf,"Dargle, Heidi",2021,Sculptures (Visual Works); Paintings (Visual Works); Drawings (Visual Works); Poetry; Comic Strips; Digital Art (Visual Works); Collages (Visual Works); Short Stories; Etchings (Prints); Linocuts (Prints); Scripts (Documents) ,40,032
ds_2020,ds_2020.pdf,"The Dancing Star, Vol 44",application/pdf,"Dargle, Heidi",2020,Poetry; Drawings (Visual Works); Photography; Short Stories; Digital Art (Visual Works); Metalwork (Visual Works); Quilt; Paintings (Visual Works),92,075
ds_2019,ds_2019.pdf,"The Dancing Star, Vol 43",application/pdf,"Triebold, Kelsey",2019,Poetry; Photographs; Paintings (Visual Works); Digital Art (Visual Works); Cyanotypes (Photographic Prints); Clothing; Ceramic Ware (Visual Works) Sculptures (Visual Works); Short Stories; Drawings (Visual Works); Collages (Visual Works),80,047
ds_2018,ds_2018.pdf,"The Dancing Star, Vol 42",application/pdf,"Grubb, Jessie",2018,Paintings (Visual Works); Drawings (Visual Works); Photographs; Collages (Visual Works); Comic Strips; Short Stories; Poetry; Songs (Musical Compositions),80,064
ds_2017,ds_2017.pdf,"The Dancing Star, Vol 41",application/pdf,"Grubb, Jessie",2017,Poetry; Short Stories; Drawings (Visual Works); Photographs,83,031
ds_2016,ds_2016.pdf,"The Dancing Star, Vol 40",application/pdf,"Brewinton, Em.",2016,Poetry; Photographs; Short Stories; Paintings (Visual Works); Comic Strips; Songs (Musical Compositions),85,037
ds_2015,ds_2015.pdf,"The Dancing Star, Vol 39",application/pdf,"Smith, La'Tia",2015,Poetry; Photographs; Drawings (Visual Works); Short Stories; Songs (Musical Compositions); Digital Art (Visual Works),76,031
ds_2014,ds_2014.pdf,"The Dancing Star, Vol 38",application/pdf,"Merritt, Haily",2014,Short Stories; Poetry; Digital Art (Visual Works); Paintings (Visual Works); Mixed Media; Photography; Songs (Musical Compositions),63,034
ds_2013,ds_2013.pdf,"The Dancing Star, Vol 37",application/pdf,"Dickerson, Ava",2013,Poetry; Photographs; Drawings (Visual Works); Short Stories; Songs (Musical Compositions),36,023
ds_2012,ds_2012.pdf,"The Dancing Star, Vol 36",application/pdf,"Schmidt, Kelci",2012,Short Stories; Poetry; Photographs; Songs (Musical Compositions),31,035
ds_2011,ds_2011.pdf,"The Dancing Star, Vol 36",application/pdf,"Schmidt, Kelci; Dillon, Ashley",2011,Poetry; Photographs; Drawings (Visual Works); Short Stories; Paintings (Visual Works); Songs (Musical Compositions),21,043
ds_2010,ds_2010.pdf,"The Dancing Star, Vol 35",application/pdf,"Cline, Ray; Stout, Betsy",2010,Short Stories; Poetry; Photographs; Digital Art (Visual Works);Drawings (Visual Works); Paintings (Visual Works); Songs (Musical Compositions),32,039
ds_2009,ds_2009.pdf,"The Dancing Star, Vol 34",application/pdf,"Curtis, Alexandra; Conrac, Steven",2009,Songs (Musical Compositions); Short Stories; Poetry; Drawings (Visual Works) ;Paintings (Visual Works); Photographs; Collages (Visual Works),40,040
ds_2008,ds_2008.pdf,"The Dancing Star, Vol 33",application/pdf,"Curtis, Alexandra; Mirza, Aasiya",2008,Poetry; Photographs; Drawings (Visual Works); Paintings (Visual Works),20,033
ds_2007,ds_2007.pdf,"The Dancing Star, Vol 32",application/pdf,"Baldwin, Cody; Mirza, Aasiya",2007,Poetry; Photographs; Short Stories; Paintings (Visual Works); Collages (Visual Works); Drawings (Visual Works); Digital Art (Visual Works),63,046
ds_2006,ds_2006.pdf,"The Dancing Star, Vol 31",application/pdf,"Craft, Ashley",2006,Poetry; Photographs; Drawings (Visual Works); Paintings (Visual Works); Short Stories; Songs (Musical Compositions),35,038
ds_2005,ds_2005.pdf,"The Dancing Star, Vol 30",application/pdf,"Shumard, Luke",2005,Poetry; Short Stories; Photographs; Drawings (Visual Works); Songs (Musical Compositions),32,032
ds_2004,ds_2004.pdf,"The Dancing Star, Vol 28/29",application/pdf,"Strother, Kelly; Kudla, Thom; Wickland, Brad",2004,Poetry; Songs (Musical Compositions); Paintings (Visual Works); Short Stories; Drawings (Visual Works); Photography; Mixed Media; Digital Art (Visual Works); Sculptures (Visual Works); Comic Strips; Scripts (Documents) ,72,163
ds_2003,ds_2002.pdf,"The Dancing Star, Vol 27",application/pdf,"Murphy, Kristen",2002,Photographs; Poetry; Paintings (Visual Works); Short Stories; Drawings (Visual Works),24,023
ds_2002,ds_2001.pdf,"The Dancing Star, Vol 26",application/pdf,"McMullen, Brian",2001,Mixed Media; Digital Art (Visual Works); Drawings (Visual Works); Photographs; Short Stories; Paintings (Visual Works); Collages (Visual Works); Small Sculpture,180,063
ds_2001,ds_2000.pdf,"The Dancing Star, Vol 25",application/pdf,"McMullen, Brian",2000,Poetry; Photographs; Drawings (Visual Works); Digital Art (Visual Works); Paintings (Visual Works); Short Stories; Collages (Visual Works),32,053